frame,joint_name,x,y
2,41,Head,280,237
2,41,Left Shoulder,217,241
2,41,Right Shoulder,484,241
2,41,Left Hip,211,247
2,41,Right Hip,509,247
2,41,Left Knee,211,249
2,41,Right Knee,528,312
2,42,Head,219,239
2,42,Left Shoulder,211,247
2,42,Right Shoulder,509,247
2,42,Left Hip,219,251
2,42,Right Hip,512,251
2,42,Left Knee,221,255
2,42,Right Knee,528,312
2,43,Head,252,243
2,43,Left Shoulder,220,244
2,43,Right Shoulder,479,244
2,43,Left Hip,217,245
2,43,Right Hip,502,245
2,43,Left Knee,211,247
2,43,Right Knee,528,312
2,44,Head,457,245
2,44,Left Knee,211,247
2,44,Right Knee,528,312
2,45,Head,507,249
